titleId;ordering;title;region;language;types;attributes;isOriginalTitle;tconst;titleType;primaryTitle;originalTitle;isAdult;startYear;endYear;runtimeMinutes;genres;averageRating;numVotes;pais
tt4257858;1;Going Clear: Scientology and the Prison of Belief;\N;\N;original;\N;1;tt4257858;movie;Going Clear: Scientology & the Prison of Belief;Going Clear: Scientology and the Prison of Belief;0;2015;\N;119;Documentary;8.0;41976;Estados Unidos da América
tt4257926;1;Miracles from Heaven;\N;\N;original;\N;1;tt4257926;movie;Miracles from Heaven;Miracles from Heaven;0;2016;\N;109;Biography,Drama,Family;7.1;30381;Estados Unidos da América
tt4263482;1;The VVitch: A New-England Folktale;\N;\N;original;\N;1;tt4263482;movie;The Witch;The VVitch: A New-England Folktale;0;2015;\N;92;Drama,Fantasy,Horror;7.0;334600;Reino Unido, Canadá, Estados Unidos da América
tt4276820;1;The Founder;\N;\N;original;\N;1;tt4276820;movie;The Founder;The Founder;0;2016;\N;115;Biography,Drama;7.2;194621;Estados Unidos da América
tt4302938;1;Kubo and the Two Strings;\N;\N;original;\N;1;tt4302938;movie;Kubo and the Two Strings;Kubo and the Two Strings;0;2016;\N;101;Action,Adventure,Animation;7.7;143428;Reino Unido, Estados Unidos da América
tt4326444;1;Julieta;\N;\N;original;\N;1;tt4326444;movie;Julieta;Julieta;0;2016;\N;99;Drama,Mystery,Romance;7.1;34871;Espanha, França, Estados Unidos da América
tt4330758;1;Black Hawk Down;\N;\N;original;\N;1;tt4330758;movie;Black Hawk Down;Black Hawk Down;0;1997;\N;57;Documentary;7.9;34669;Não encontrado
tt4364194;1;The Peanut Butter Falcon;\N;\N;original;\N;1;tt4364194;movie;The Peanut Butter Falcon;The Peanut Butter Falcon;0;2019;\N;97;Adventure,Comedy,Drama;7.6;115100;Estados Unidos da América
tt4385888;1;20th Century Women;\N;\N;original;\N;1;tt4385888;movie;20th Century Women;20th Century Women;0;2016;\N;119;Comedy,Drama;7.3;51335;Estados Unidos da América
tt4425200;1;John Wick: Chapter 2;\N;\N;original;\N;1;tt4425200;movie;John Wick: Chapter 2;John Wick: Chapter 2;0;2017;\N;122;Action,Crime,Thriller;7.4;547074;Estados Unidos da América, Itália, Hong Kong, Canadá
tt4468740;1;Paddington 2;\N;\N;original;\N;1;tt4468740;movie;Paddington 2;Paddington 2;0;2017;\N;103;Adventure,Comedy,Family;7.8;107258;França, Reino Unido
tt4481414;1;Gifted;\N;\N;original;\N;1;tt4481414;movie;Gifted;Gifted;0;2017;\N;101;Drama;7.6;152751;Estados Unidos da América
tt4495098;1;Gran Turismo;\N;\N;original;\N;1;tt4495098;movie;Gran Turismo;Gran Turismo;0;2023;\N;134;Action,Adventure,Drama;7.1;124626;Japão, Estados Unidos da América
tt4513678;1;Ghostbusters: Afterlife;\N;\N;original;\N;1;tt4513678;movie;Ghostbusters: Afterlife;Ghostbusters: Afterlife;0;2021;\N;124;Adventure,Comedy,Fantasy;7.0;234116;Estados Unidos da América, Canadá
tt4540710;1;Miss Sloane;\N;\N;original;\N;1;tt4540710;movie;Miss Sloane;Miss Sloane;0;2016;\N;132;Drama;7.5;86428;Reino Unido, França, Canadá, Estados Unidos da América
tt4550098;1;Nocturnal Animals;\N;\N;original;\N;1;tt4550098;movie;Nocturnal Animals;Nocturnal Animals;0;2016;\N;116;Drama,Thriller;7.4;330035;Estados Unidos da América, China
tt4555426;1;Darkest Hour;\N;\N;original;\N;1;tt4555426;movie;Darkest Hour;Darkest Hour;0;2017;\N;125;Biography,Drama,History;7.4;232496;Reino Unido, Estados Unidos da América, China
